,Year,Month,Day,Start_Hour,End_Hour,Price
363,2016.0,9.0,16.0,22.0,23.0,33.59193
364,2016.0,9.0,16.0,11.0,12.0,27.74184
365,2016.0,9.0,16.0,16.0,17.0,22.56678
366,2016.0,9.0,17.0,6.0,7.0,31.41504
367,2016.0,9.0,17.0,0.0,1.0,39.89587
368,2016.0,9.0,16.0,19.0,20.0,24.16243
369,2016.0,9.0,17.0,2.0,3.0,55.0
370,2016.0,9.0,17.0,4.0,5.0,37.23
371,2016.0,9.0,16.0,8.0,9.0,27.8335
372,2016.0,9.0,16.0,9.0,10.0,27.78847
373,2016.0,9.0,16.0,13.0,14.0,34.24224
374,2016.0,9.0,16.0,14.0,15.0,34.04005
375,2016.0,9.0,16.0,18.0,19.0,22.55695
376,2016.0,9.0,16.0,21.0,22.0,30.5477
377,2016.0,9.0,16.0,23.0,0.0,34.60042
378,2016.0,9.0,17.0,5.0,6.0,34.65069
379,2016.0,9.0,16.0,12.0,13.0,31.68585
380,2016.0,9.0,16.0,15.0,16.0,28.78181
381,2016.0,9.0,17.0,1.0,2.0,48.72383
382,2016.0,9.0,16.0,10.0,11.0,27.16324
383,2016.0,9.0,17.0,3.0,4.0,46.27
384,2016.0,9.0,17.0,7.0,8.0,28.70738
385,2016.0,9.0,17.0,16.0,17.0,14.17874
386,2016.0,9.0,17.0,21.0,22.0,27.17159
387,2016.0,9.0,17.0,9.0,10.0,28.20213
388,2016.0,9.0,17.0,23.0,0.0,34.91033
389,2016.0,9.0,18.0,0.0,1.0,41.63948
390,2016.0,9.0,18.0,2.0,3.0,55.54579
391,2016.0,9.0,18.0,5.0,6.0,34.91275
392,2016.0,9.0,17.0,19.0,20.0,20.93069
393,2016.0,9.0,18.0,1.0,2.0,50.0
394,2016.0,9.0,18.0,4.0,5.0,37.55
395,2016.0,9.0,17.0,12.0,13.0,29.15283
396,2016.0,9.0,17.0,15.0,16.0,19.73093
397,2016.0,9.0,17.0,20.0,21.0,23.32339
398,2016.0,9.0,17.0,22.0,23.0,30.84228
399,2016.0,9.0,18.0,3.0,4.0,46.73
400,2016.0,9.0,18.0,6.0,7.0,30.55785
401,2016.0,9.0,17.0,10.0,11.0,27.05538
402,2016.0,9.0,17.0,11.0,12.0,27.19437
403,2016.0,9.0,17.0,13.0,14.0,31.23378
404,2016.0,9.0,17.0,14.0,15.0,28.33974
405,2016.0,9.0,17.0,18.0,19.0,16.29191
406,2016.0,9.0,17.0,8.0,9.0,27.01416
407,2016.0,9.0,17.0,17.0,18.0,14.28634
408,2016.0,9.0,18.0,19.0,20.0,26.47218
409,2016.0,9.0,18.0,14.0,15.0,26.79758
410,2016.0,9.0,19.0,3.0,4.0,50.21252
411,2016.0,9.0,18.0,18.0,19.0,21.80672
412,2016.0,9.0,18.0,10.0,11.0,26.83314
413,2016.0,9.0,18.0,8.0,9.0,26.66223
414,2016.0,9.0,19.0,6.0,7.0,32.82748
415,2016.0,9.0,19.0,4.0,5.0,40.18698
416,2016.0,9.0,19.0,0.0,1.0,60.9745
417,2016.0,9.0,18.0,22.0,23.0,36.74987
418,2016.0,9.0,18.0,11.0,12.0,26.85352
419,2016.0,9.0,18.0,7.0,8.0,28.08562
420,2016.0,9.0,18.0,16.0,17.0,12.35751
421,2016.0,9.0,18.0,15.0,16.0,19.98786
422,2016.0,9.0,18.0,13.0,14.0,29.28671
423,2016.0,9.0,18.0,12.0,13.0,27.852
424,2016.0,9.0,19.0,5.0,6.0,36.22329
425,2016.0,9.0,19.0,2.0,3.0,68.94542
426,2016.0,9.0,18.0,23.0,0.0,46.3978
427,2016.0,9.0,18.0,20.0,21.0,30.02364
428,2016.0,9.0,18.0,9.0,10.0,27.82651
429,2016.0,9.0,18.0,17.0,18.0,13.99852
430,2016.0,9.0,19.0,1.0,2.0,67.22768
431,2016.0,9.0,18.0,21.0,22.0,33.69363
432,2016.0,9.0,19.0,22.0,23.0,68.75769
433,2016.0,9.0,20.0,6.0,7.0,34.28032
434,2016.0,9.0,19.0,18.0,19.0,25.34354
435,2016.0,9.0,20.0,3.0,4.0,77.42073
436,2016.0,9.0,20.0,4.0,5.0,39.97335
437,2016.0,9.0,19.0,21.0,22.0,34.03394
438,2016.0,9.0,19.0,17.0,18.0,24.63451
439,2016.0,9.0,19.0,23.0,0.0,83.09087
440,2016.0,9.0,19.0,16.0,17.0,22.91021
441,2016.0,9.0,19.0,20.0,21.0,28.08531
442,2016.0,9.0,19.0,15.0,16.0,27.46712
443,2016.0,9.0,19.0,11.0,12.0,26.84497
444,2016.0,9.0,19.0,10.0,11.0,25.92311
445,2016.0,9.0,20.0,5.0,6.0,38.90349
446,2016.0,9.0,19.0,7.0,8.0,31.07942
447,2016.0,9.0,19.0,14.0,15.0,35.65817
448,2016.0,9.0,19.0,19.0,20.0,26.2314
449,2016.0,9.0,20.0,1.0,2.0,109.39177
450,2016.0,9.0,19.0,13.0,14.0,34.81365
451,2016.0,9.0,19.0,12.0,13.0,31.85432
452,2016.0,9.0,19.0,9.0,10.0,27.16538
453,2016.0,9.0,19.0,8.0,9.0,28.9318
454,2016.0,9.0,20.0,2.0,3.0,101.21956
455,2016.0,9.0,20.0,0.0,1.0,149.27585
456,2016.0,9.0,20.0,22.0,23.0,49.70633
457,2016.0,9.0,20.0,19.0,20.0,35.31893
458,2016.0,9.0,21.0,5.0,6.0,36.74226
459,2016.0,9.0,21.0,6.0,7.0,33.56862
460,2016.0,9.0,20.0,7.0,8.0,30.26623
461,2016.0,9.0,20.0,12.0,13.0,29.10472
462,2016.0,9.0,20.0,14.0,15.0,35.65955
463,2016.0,9.0,20.0,17.0,18.0,32.11437
464,2016.0,9.0,20.0,21.0,22.0,39.75124
465,2016.0,9.0,20.0,15.0,16.0,34.03382
466,2016.0,9.0,20.0,23.0,0.0,54.14789
467,2016.0,9.0,21.0,1.0,2.0,63.13705
468,2016.0,9.0,21.0,4.0,5.0,42.161
469,2016.0,9.0,20.0,8.0,9.0,27.04162
470,2016.0,9.0,20.0,10.0,11.0,24.77444
471,2016.0,9.0,20.0,9.0,10.0,25.70817
472,2016.0,9.0,20.0,11.0,12.0,25.34671
473,2016.0,9.0,21.0,3.0,4.0,55.06907
474,2016.0,9.0,20.0,16.0,17.0,32.0259
475,2016.0,9.0,21.0,0.0,1.0,58.3714
476,2016.0,9.0,20.0,13.0,14.0,34.44257
477,2016.0,9.0,20.0,18.0,19.0,32.95146
478,2016.0,9.0,20.0,20.0,21.0,36.61481
479,2016.0,9.0,21.0,2.0,3.0,66.87278
480,2016.0,9.0,21.0,16.0,17.0,32.43246
481,2016.0,9.0,21.0,8.0,9.0,29.31175
482,2016.0,9.0,22.0,3.0,4.0,49.97623
483,2016.0,9.0,21.0,11.0,12.0,28.72725
484,2016.0,9.0,21.0,12.0,13.0,32.39377
485,2016.0,9.0,22.0,1.0,2.0,57.58497
486,2016.0,9.0,22.0,6.0,7.0,31.46503
487,2016.0,9.0,21.0,18.0,19.0,32.4518
488,2016.0,9.0,21.0,19.0,20.0,33.00476
489,2016.0,9.0,21.0,21.0,22.0,39.39804
490,2016.0,9.0,21.0,10.0,11.0,27.4273
491,2016.0,9.0,21.0,9.0,10.0,28.38246
492,2016.0,9.0,21.0,17.0,18.0,32.20019
493,2016.0,9.0,22.0,0.0,1.0,49.39614
494,2016.0,9.0,22.0,2.0,3.0,59.97933
