type,name,latitude,longitude
Load Node,MUSLSLGH_6_N001,36.2645,-119.91
Load Node,LAURELES_6_N001,36.4778,-121.73
Generation Node,HILLGEN_7_B1,34.0085,-117.95
Load Node,BIXLER_6_N001,37.937,-121.53
Load Node,KEARNEY_7_N001,36.7044,-119.88
Generation Node,GWFGT1_7_B1,36.2416,-119.9
Generation Node,GWFGT2_7_B1,36.2416,-119.9
Load Node,HENRITTA_6_N101,36.2416,-119.9
Load Node,CURTIS1_7_N001,37.9749,-120.32
Generation Node,SONOFR2_7_B1,33.3697,-117.55
Generation Node,SONOFR3_7_B1,33.3693,-117.55
Load Node,SONOFRE_2_N001,33.3697,-117.55
Load Node,SONOFRE_2_N067,33.3697,-117.55
Generation Node,CURTISS_1_N010,37.9749,-120.32
Load Node,CURTISS_1_N101,37.9749,-120.32
Generation Node,FBERBORD_1_N001,37.97,-120.3
Load Node,ENCNITAS_6_N001,33.0506,-117.29
Load Node,ENCNITAS_6_N004,33.0506,-117.29
Load Node,ENCNITAS_6_N011,33.0506,-117.29
Load Node,ANNAPOLS_6_N001,38.6803,-123.31
Load Node,AVOCADO_6_N001,33.3847,-117.24
Load Node,AVOCADO_6_N002,33.3847,-117.24
Generation Node,KEARNEY_7_B3,36.7044,-119.88
Load Node,KEARNEY_7_N003,32.8329,-117.13
Load Node,MI-WUK_1_N001,38.0527,-120.22
Load Node,RICE_6_N002,39.4028,-122.01
Load Node,RICE_6_N101,39.4028,-122.01
Generation Node,SPRINGVL_6_N004,36.1058,-118.94
Generation Node,SPRINGVL_6_N002,36.1058,-118.94
Generation Node,SPRINGVL_6_N006,36.1058,-118.94
Load Node,SPRINGVL_6_N001,36.1058,-118.94
Load Node,MESARIM_6_N001,32.9049,-117.17
Load Node,MESARIM_6_N007,32.9049,-117.17
Load Node,MESARIM_6_N008,32.9049,-117.17
Load Node,MESARIM_6_N012,32.9049,-117.17
Load Node,GOULD_2_N001,34.2215,-118.19
Load Node,GOULD_2_N007,34.2215,-118.19
Load Node,FROGTOWN_7_N001,38.0565,-120.53
Generation Node,FROGTOWN_7_N003,38.0565,-120.53
Load Node,COLUSA_6_N001,39.2136,-122
Load Node,COLUSA_6_N004,39.2136,-122
Load Node,RTRACK_1_N001,37.9797,-120.41
Load Node,MONSRATE_6_N001,33.3291,-117.24
Load Node,MONSRATE_6_N007,33.3291,-117.24
Load Node,ARBUCKLE_6_N001,39.0176,-122.06
Load Node,LIVNGSTN_6_N001,37.3633,-120.76
Load Node,UCM_6_N001,32.8836,-117.22
Load Node,UCM_6_N002,32.8836,-117.22
Load Node,UCM_6_N006,32.8836,-117.22
Load Node,LAJOLLA_6_N001,32.8401,-117.28
Load Node,LAJOLLA_6_N007,32.8401,-117.28
Load Node,GENESEE_6_N001,32.8797,-117.21
Load Node,GENESEE_6_N005,32.8797,-117.21
Load Node,GENESEE_6_N011,32.8797,-117.21
Load Node,GENESEE_6_N015,32.8797,-117.21
Load Node,PENDLETN_6_N001,33.3093,-117.34
Load Node,PENDLETN_6_N004,33.3093,-117.34
Load Node,STUART_6_N001,33.2567,-117.42
Load Node,OWNBRKWY_1_N001,37.72,-122.22
Load Node,TOREYPNS_6_N001,32.8987,-117.24
Load Node,TOREYPNS_6_N007,32.8987,-117.24
Load Node,TOREYPNS_6_N008,32.8987,-117.24
Load Node,TOREYPNS_6_N009,32.8987,-117.24
Load Node,DELMAR_6_N001,38.7988,-121.22
Load Node,DELMAR_6_N010,32.9808,-117.26
Load Node,DELMAR_6_N011,32.9808,-117.26
Load Node,GONZALES_6_N001,36.5089,-121.45
Load Node,GONZALES_6_N003,36.5089,-121.45
Load Node,OCEANSDE_6_N001,33.1968,-117.38
